Make,Model,CO2 Emissions(g/km)
MERCEDES-BENZ,E 63 AMG S 4MATIC WAGON,310
MERCEDES-BENZ,G 550,419
MERCEDES-BENZ,G 63 AMG,407
MERCEDES-BENZ,GL 350 BLUETEC 4MATIC,324
MERCEDES-BENZ,GL 450 4MATIC,350
MERCEDES-BENZ,GL 550 4MATIC,359
MERCEDES-BENZ,GL 63 AMG,363
MERCEDES-BENZ,GLK 250 BLUETEC 4MATIC,230
MERCEDES-BENZ,GLK 350 4MATIC,260
MERCEDES-BENZ,ML 350 4MATIC FFV,278
MERCEDES-BENZ,ML 350 BLUETEC 4MATIC,278
MERCEDES-BENZ,ML 550 4MATIC,327
MERCEDES-BENZ,ML 63 AMG 4MATIC,356
MERCEDES-BENZ,S 550 4MATIC LWB,278
MERCEDES-BENZ,S 550 4MATIC SWB,276
MERCEDES-BENZ,S 63 AMG 4MATIC,304
MERCEDES-BENZ,SL 550,269
MERCEDES-BENZ,SL 63 AMG,292
MERCEDES-BENZ,SL 65 AMG,327
MERCEDES-BENZ,SLK 250,205
MERCEDES-BENZ,SLK 350,225
MERCEDES-BENZ,SLK 55 AMG,246
MERCEDES-BENZ,SLS AMG BLACK SERIES COUPE,380
MERCEDES-BENZ,SLS AMG GT COUPE,361
MERCEDES-BENZ,SLS AMG ROADSTER,361
MINI,COOPER CLUBMAN,179
MINI,COOPER CONVERTIBLE,179
MINI,COOPER COUNTRYMAN,200
MINI,COOPER COUPE,175
MINI,COOPER PACEMAN,200
MINI,COOPER ROADSTER,179
MINI,COOPER S CLUBMAN,191
MINI,COOPER S CONVERTIBLE,191
MINI,COOPER S COUNTRYMAN ALL4,207
MINI,COOPER S COUPE,191
MINI,COOPER S PACEMAN ALL4,207
MINI,COOPER S ROADSTER,191
MINI,JOHN COOPER WORKS CLUBMAN,191
MINI,JOHN COOPER WORKS CONVERTIBLE,191
MINI,JOHN COOPER WORKS COUNTRYMAN ALL4,207
MINI,JOHN COOPER WORKS COUPE,191
MINI,JOHN COOPER WORKS PACEMAN ALL4,207
MINI,JOHN COOPER WORKS ROADSTER,191
MITSUBISHI,LANCER,189
MITSUBISHI,LANCER AWD,218
MITSUBISHI,LANCER EVOLUTION,288
MITSUBISHI,LANCER RALLIART,267
MITSUBISHI,LANCER SPORTBACK,198
MITSUBISHI,MIRAGE,138
MITSUBISHI,OUTLANDER,198
MITSUBISHI,OUTLANDER 4WD,209
MITSUBISHI,RVR,200
MITSUBISHI,RVR 4WD,207
NISSAN,370Z,253
NISSAN,370Z ROADSTER,262
NISSAN,ALTIMA,175
NISSAN,ARMADA 4WD,380
NISSAN,FRONTIER,283
NISSAN,FRONTIER 4WD,315
NISSAN,GT-R,297
NISSAN,JUKE,186
NISSAN,JUKE AWD,200
NISSAN,MAXIMA,251
NISSAN,MURANO AWD,271
NISSAN,NV200 CARGO VAN,214
NISSAN,PATHFINDER,244
NISSAN,PATHFINDER 4WD,253
NISSAN,PATHFINDER HYBRID 4WD,202
NISSAN,QUEST,255
NISSAN,ROGUE,191
NISSAN,ROGUE AWD,198
NISSAN,SENTRA,161
NISSAN,TITAN,359
NISSAN,TITAN 4WD,398
NISSAN,VERSA,152
NISSAN,XTERRA 4WD,327
PORSCHE,911 CARRERA,232
PORSCHE,911 CARRERA 4,237
PORSCHE,911 CARRERA 4 CABRIOLET,242
PORSCHE,911 CARRERA 4S,248
PORSCHE,911 CARRERA 4S CABRIOLET,253
PORSCHE,911 CARRERA CABRIOLET,232
PORSCHE,911 CARRERA S,244
PORSCHE,911 CARRERA S CABRIOLET,246
PORSCHE,911 GT3,322
PORSCHE,911 TURBO,274
PORSCHE,911 TURBO CABRIOLET,274
PORSCHE,911 TURBO S,274
PORSCHE,911 TURBO S CABRIOLET,274
PORSCHE,BOXSTER,212
PORSCHE,BOXSTER S,225
PORSCHE,CAYENNE,290
PORSCHE,CAYENNE DIESEL (modified),277
PORSCHE,CAYENNE GTS,338
PORSCHE,CAYENNE S,310
PORSCHE,CAYENNE S HYBRID,251
PORSCHE,CAYENNE TURBO,326
PORSCHE,CAYENNE TURBO S,358
PORSCHE,CAYMAN,212
PORSCHE,CAYMAN S,225
PORSCHE,PANAMERA,251
PORSCHE,PANAMERA 4,255
PORSCHE,PANAMERA 4S,260
PORSCHE,PANAMERA 4S EXECUTIVE,264
PORSCHE,PANAMERA GTS,292
PORSCHE,PANAMERA S,260
PORSCHE,PANAMERA TURBO,294
PORSCHE,PANAMERA TURBO EXECUTIVE,297
RAM,1500 (MDS),340
RAM,1500 4X4 (MDS),354
RAM,1500 4X4 DIESEL,286
RAM,1500 4X4 FFV,290
RAM,1500 DIESEL,275
RAM,1500 FFV,274
RAM,1500 HFE,260
RAM,CARGO VAN FFV,262
ROLLS-ROYCE,GHOST,368
ROLLS-ROYCE,GHOST EWB,368
ROLLS-ROYCE,PHANTOM,393
ROLLS-ROYCE,PHANTOM COUPE,393
ROLLS-ROYCE,PHANTOM DROPHEAD COUPE,393
ROLLS-ROYCE,PHANTOM EWB,393
ROLLS-ROYCE,WRAITH,359
SCION,FR-S,193
SCION,iQ,143
SCION,tC,207
SCION,xB,228
SCION,xD,184
SMART,FORTWO CABRIOLET,147
SMART,FORTWO COUPE,147
SRT,VIPER COUPE,389
SRT,VIPER GTS COUPE,389
SUBARU,BRZ,196
SUBARU,FORESTER AWD,218
SUBARU,IMPREZA AWD,179
SUBARU,IMPREZA WAGON AWD,179
SUBARU,LEGACY AWD,198
SUBARU,OUTBACK AWD,207
SUBARU,TRIBECA AWD,301
SUBARU,XV CROSSTREK AWD,196
SUBARU,XV CROSSTREK HYBRID AWD,177
TOYOTA,4RUNNER (Part-Time 4WD),297
TOYOTA,4RUNNER 4WD,297
TOYOTA,AVALON,221
TOYOTA,CAMRY,189
TOYOTA,CAMRY HYBRID LE,131
TOYOTA,CAMRY HYBRID XLE/SE,138
TOYOTA,COROLLA,177
TOYOTA,COROLLA LE ECO (1-mode),156
TOYOTA,COROLLA LE ECO (2-mode),159
TOYOTA,COROLLA MATRIX,196
TOYOTA,FJ CRUISER 4WD,297
TOYOTA,HIGHLANDER,237
TOYOTA,HIGHLANDER AWD,264
TOYOTA,HIGHLANDER HYBRID AWD,191
TOYOTA,HIGHLANDER HYBRID AWD LE,189
TOYOTA,PRIUS,110
TOYOTA,PRIUS c,108
TOYOTA,PRIUS v,126
TOYOTA,RAV4,205
TOYOTA,RAV4 AWD,216
TOYOTA,RAV4 LIMITED AWD,218
TOYOTA,SEQUOIA 4WD,384
TOYOTA,SIENNA,260
TOYOTA,SIENNA AWD,285
TOYOTA,TACOMA,251
TOYOTA,TACOMA 4WD,274
TOYOTA,TUNDRA,310
TOYOTA,TUNDRA 4WD,347
TOYOTA,VENZA,230
TOYOTA,VENZA 4WD,235
TOYOTA,YARIS,168
VOLKSWAGEN,BEETLE,196
VOLKSWAGEN,BEETLE TDI (modified),200
VOLKSWAGEN,BEETLE CONVERTIBLE,200
VOLKSWAGEN,CC,223
VOLKSWAGEN,CC 4MOTION,283
VOLKSWAGEN,EOS,221
VOLKSWAGEN,GOLF WAGON,218
VOLKSWAGEN,GOLF WAGON TDI (modified),198
VOLKSWAGEN,JETTA,189
VOLKSWAGEN,JETTA TDI (modified),198
VOLKSWAGEN,JETTA GLI,207
VOLKSWAGEN,JETTA TURBO HYBRID,124
VOLKSWAGEN,PASSAT,198
VOLKSWAGEN,PASSAT TDI (modified),180
VOLKSWAGEN,ROUTAN,278
VOLKSWAGEN,TIGUAN,246
VOLKSWAGEN,TIGUAN 4MOTION,246
VOLKSWAGEN,TOUAREG,296
VOLKSWAGEN,TOUAREG TDI (modified),277
VOLVO,S60,223
VOLVO,S60 AWD,232
VOLVO,S80,235
VOLVO,S80 AWD,264
VOLVO,XC60,258
VOLVO,XC60 AWD,271
VOLVO,XC70 AWD,271
VOLVO,XC90 AWD,294
ACURA,MDX SH-AWD,255
ACURA,RLX HYBRID,177
ACURA,TLX,191
