Make,Model,CO2 Emissions(lbs/mile)
MERCEDES-BENZ,SLK 350,0.308285734
MERCEDES-BENZ,SLK 55 AMG,0.337059069
MERCEDES-BENZ,SLS AMG BLACK SERIES COUPE,0.520660351
MERCEDES-BENZ,SLS AMG GT COUPE,0.494627333
MERCEDES-BENZ,SLS AMG ROADSTER,0.494627333
MINI,COOPER CLUBMAN,0.245258428
MINI,COOPER CONVERTIBLE,0.245258428
MINI,COOPER COUNTRYMAN,0.274031764
MINI,COOPER COUPE,0.239777793
MINI,COOPER PACEMAN,0.274031764
MINI,COOPER ROADSTER,0.245258428
MINI,COOPER S CLUBMAN,0.261700334
MINI,COOPER S CONVERTIBLE,0.261700334
MINI,COOPER S COUNTRYMAN ALL4,0.283622875
MINI,COOPER S COUPE,0.261700334
MINI,COOPER S PACEMAN ALL4,0.283622875
MINI,COOPER S ROADSTER,0.261700334
MINI,JOHN COOPER WORKS CLUBMAN,0.261700334
MINI,JOHN COOPER WORKS CONVERTIBLE,0.261700334
MINI,JOHN COOPER WORKS COUNTRYMAN ALL4,0.283622875
MINI,JOHN COOPER WORKS COUPE,0.261700334
MINI,JOHN COOPER WORKS PACEMAN ALL4,0.283622875
MINI,JOHN COOPER WORKS ROADSTER,0.261700334
MITSUBISHI,LANCER,0.258960017
MITSUBISHI,LANCER AWD,0.298694622
MITSUBISHI,LANCER EVOLUTION,0.39460574
MITSUBISHI,LANCER RALLIART,0.365832404
MITSUBISHI,LANCER SPORTBACK,0.271291446
MITSUBISHI,MIRAGE,0.189081917
MITSUBISHI,OUTLANDER,0.271291446
MITSUBISHI,OUTLANDER 4WD,0.286363193
MITSUBISHI,RVR,0.274031764
MITSUBISHI,RVR 4WD,0.283622875
NISSAN,370Z,0.346650181
NISSAN,370Z ROADSTER,0.35898161
NISSAN,ALTIMA,0.239777793
NISSAN,ARMADA 4WD,0.520660351
NISSAN,FRONTIER,0.387754945
NISSAN,FRONTIER 4WD,0.431600028
NISSAN,GT-R,0.406937169
NISSAN,JUKE,0.25484954
NISSAN,JUKE AWD,0.274031764
NISSAN,MAXIMA,0.343909863
NISSAN,MURANO AWD,0.37131304
NISSAN,NV200 CARGO VAN,0.293213987
NISSAN,PATHFINDER,0.334318752
NISSAN,PATHFINDER 4WD,0.346650181
NISSAN,PATHFINDER HYBRID 4WD,0.276772081
NISSAN,QUEST,0.349390499
NISSAN,ROGUE,0.261700334
NISSAN,ROGUE AWD,0.271291446
NISSAN,SENTRA,0.22059557
NISSAN,TITAN,0.491887016
NISSAN,TITAN 4WD,0.54532321
NISSAN,VERSA,0.20826414
NISSAN,XTERRA 4WD,0.448041933
PORSCHE,911 CARRERA,0.317876846
PORSCHE,911 CARRERA 4,0.32472764
PORSCHE,911 CARRERA 4 CABRIOLET,0.331578434
PORSCHE,911 CARRERA 4S,0.339799387
